aDT-a_F	VFB_00020114
aDT-b_F	VFB_00020115
aDT-c_F	VFB_00020116
aDT-d_F	VFB_00020117
aDT-e_F	VFB_00020118
aDT-f_F	VFB_00020119
aDT-g_F	VFB_00020120
aDT-h_F	VFB_00020121
aIP-a_F	VFB_00020122
aIP-b_F	VFB_00020123
aIP-c_F	VFB_00020124
aIP-d_F	VFB_00020125
aIP-e_F	VFB_00020126
aIP-f_F	VFB_00020127
aIP-g_F	VFB_00020128
aIP-h_F	VFB_00020129
aSG-a_F	VFB_00020130
aSP-a_F	VFB_00020131
aSP-b_F	VFB_00020132
aSP-c_F	VFB_00020133
aSP-d_F	VFB_00020134
aSP-e_F	VFB_00020135
aSP-f_F	VFB_00020136
aSP-g_F	VFB_00020137
aSP-h_F	VFB_00020138
aSP-i_F	VFB_00020139
aSP-j_F	VFB_00020140
aSP-k_F	VFB_00020141
aSP-l_F	VFB_00020142
aSP-m_F	VFB_00020143
Lo_F	VFB_00020144
M_F	VFB_00020145
pIP-a_F	VFB_00020146
pIP-b_F	VFB_00020147
pIP-c_F	VFB_00020148
pIP-d_F	VFB_00020149
pIP-e_F	VFB_00020150
pIP-f_F	VFB_00020151
pIP-g_F	VFB_00020152
pIP-h_F	VFB_00020153
pIP-i_F	VFB_00020154
pIP-j_F	VFB_00020155
pMP-a_F	VFB_00020156
pMP-b_F	VFB_00020157
pMP-c_F	VFB_00020158
pMP-d_F	VFB_00020159
pMP-e_F	VFB_00020160
pMP-f_F	VFB_00020161
pMP-g_F	VFB_00020162
pSG-a_F	VFB_00020163
pSG-b_F	VFB_00020164
pSG-c_F	VFB_00020165
pSG-d_F	VFB_00020166
pSG-e_F	VFB_00020167
pSP-a_F	VFB_00020168
pSP-b_F	VFB_00020169
pSP-c_F	VFB_00020170
