label	vfbid	sourcename	sourceuri
C3-111011-1JK56Fill	VFB_00030637	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030637
C3-110914-3fruFill	VFB_00030636	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030636
120313-JK1029fill	VFB_00030639	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030639
120306-JK1029fill	VFB_00030638	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030638
C3-110913-1fruFill	VFB_00030635	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030635
C3-110911-6fruFill	VFB_00030634	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030634
120727-JK1029fill	VFB_00030729	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030729
120727-1JK1029fill	VFB_00030728	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030728
120530-JK1029fill	VFB_00030725	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030725
120529-6JK1029fill	VFB_00030724	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030724
120726-2JK1029fill	VFB_00030727	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030727
120726-1JK1029fill	VFB_00030726	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030726
120723-3JK1029fill	VFB_00030721	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030721
120723-1JK1029fill	VFB_00030720	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030720
120309-JK1029fill	VFB_00030723	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030723
120723-4JK1029fill	VFB_00030722	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030722
120614-JK1029fill	VFB_00030739	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030739
120508-1JK1029fill	VFB_00030736	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030736
120503-JK1029fill	VFB_00030735	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030735
120514-JK1029fill	VFB_00030738	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030738
120508-JK1029fill	VFB_00030737	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030737
120424-JK1029fill	VFB_00030732	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030732
120421-1JK1029fill	VFB_00030731	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030731
120502-JK1029fill	VFB_00030734	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030734
120425-JK1029fill	VFB_00030733	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030733
121130-JK1029fill	VFB_00030730	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030730
121127-1JK1029fill	VFB_00030743	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030743
120616-1JK1029fill	VFB_00030742	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030742
121127-3JK1029fill	VFB_00030744	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030744
120718-JK1029fill	VFB_00030741	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030741
120713-3JK1029fill	VFB_00030740	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030740
121122-2JK1029fill	VFB_00030707	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030707
121120-JK1029fill	VFB_00030706	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030706
121129-JK1029fill	VFB_00030709	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030709
121128-1JK1029fill	VFB_00030708	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030708
120730-JK1029fill	VFB_00030703	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030703
120726-JK1029fill	VFB_00030702	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030702
120731-2JK1029fill	VFB_00030705	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030705
120731-1JK1029fill	VFB_00030704	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030704
120725-JK1029fill	VFB_00030701	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030701
120614-3JK1029fill	VFB_00030700	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030700
120717-JK1029fill	VFB_00030718	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030718
120717-4JK1029fill	VFB_00030717	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030717
120718-2JK1029fill	VFB_00030719	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030719
120716-4JK1029fill	VFB_00030714	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030714
120713-4JK1029fill	VFB_00030713	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030713
120716-9JK1029fill	VFB_00030716	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030716
120716-6JK1029fill	VFB_00030715	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030715
121208-1JK1029fill	VFB_00030710	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030710
120614-1JK1029fill	VFB_00030712	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030712
120529-5JK1029fill	VFB_00030711	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030711
120502-1JK1029fill	VFB_00030680	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030680
120811-1JK56fill	VFB_00030682	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030682
120810-JK56fill	VFB_00030681	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030681
120814-JK56fill	VFB_00030688	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030688
120814-3JK56fill	VFB_00030687	Kohl2013	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030687
