label	vfbid	sourcename	sourceuri
L1EM4104476	VFB_00102279	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4113533	VFB_00102280	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4071032	VFB_00102277	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4102728	VFB_00102278	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4038808	VFB_00102275	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4042315	VFB_00102276	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4028114	VFB_00102274	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4121534	VFB_00102282	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4113612	VFB_00102281	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4289773	VFB_00102284	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4124563	VFB_00102283	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4535767	VFB_00102286	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4326468	VFB_00102285	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4538738	VFB_00102288	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4538681	VFB_00102287	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4729046	VFB_00102290	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4543281	VFB_00102289	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4936149	VFB_00102292	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4881629	VFB_00102291	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM5078760	VFB_00102294	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM4978454	VFB_00102293	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM5298032	VFB_00102296	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM5084467	VFB_00102295	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM5358138	VFB_00102297	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM6467481	VFB_00102298	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM7934159	VFB_00102299	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM8688631	VFB_00102300	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM10090269	VFB_00102301	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM10855206	VFB_00102302	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM12820277	VFB_00102303	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM12953345	VFB_00102304	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM13258642	VFB_00102305	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM14242929	VFB_00102306	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM15290335	VFB_00102307	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM16226512	VFB_00102308	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM16690920	VFB_00102309	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM16713121	VFB_00102310	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM17071666	VFB_00102311	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM5309932	VFB_00100023	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM10185585	VFB_00100024	Zwart2016	http://virtualflybrain.org/data/Zwart2016
L1EM13122056	VFB_00100025	Zwart2016	http://virtualflybrain.org/data/Zwart2016
