label	vfbid	sourcename	sourceuri
FAFB27884.	VFB_00101132	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB23134.	VFB_00101134	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB192547.	VFB_00101133	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB37250.	VFB_00101136	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB24251.	VFB_00101135	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB41578.	VFB_00101138	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB40306.	VFB_00101137	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57003.	VFB_00101140	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB46800.	VFB_00101139	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB192423.	VFB_00101150	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB46105.	VFB_00101149	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB1149173.	VFB_00101152	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB203504.	VFB_00101151	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB37235.	VFB_00101154	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB37212.	VFB_00101153	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57254.	VFB_00101156	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB49026.	VFB_00101155	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57499.	VFB_00101142	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57471.	VFB_00101141	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB73937.	VFB_00101144	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57516.	VFB_00101143	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB1549518.	VFB_00101146	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB1530770.	VFB_00101145	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB39254.	VFB_00101148	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB23005.	VFB_00101147	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB45242.	VFB_00101165	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB22976.	VFB_00101166	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB24726.	VFB_00101167	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB775731.	VFB_00101168	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB43539.	VFB_00101169	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB27048.	VFB_00101170	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB22132.	VFB_00101171	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB32399.	VFB_00101172	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57266.	VFB_00101157	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57274.	VFB_00101158	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57426.	VFB_00101159	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57503.	VFB_00101160	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB59129.	VFB_00101161	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB23569.	VFB_00101162	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB33.	VFB_00101163	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57410.	VFB_00101164	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB35246.	VFB_00101184	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB24622.	VFB_00101183	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB65762.	VFB_00101182	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57402.	VFB_00101181	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB36390.	VFB_00101188	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB165303.	VFB_00101187	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57319.	VFB_00101186	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB40637.	VFB_00101185	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB28876.	VFB_00101176	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB771242.	VFB_00101175	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57414.	VFB_00101174	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB57241.	VFB_00101173	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB1775706.	VFB_00101180	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB23432.	VFB_00101179	Zheng2018	http://virtualflybrain.org/data/Zheng2018
FAFB39668.	VFB_00101178	Zheng2018	http://virtualflybrain.org/data/Zheng2018
