label	vfbid	sourcename	sourceuri
L1EM19816278	VFB_00102101	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM20152212	VFB_00102102	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM19470184	VFB_00102099	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM19731864	VFB_00102100	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM19341122	VFB_00102097	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM19431430	VFB_00102098	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM19099536	VFB_00102095	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM19180425	VFB_00102096	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18934019	VFB_00102093	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM19042617	VFB_00102094	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18785124	VFB_00102091	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18833414	VFB_00102092	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18630153	VFB_00102089	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18679889	VFB_00102090	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15998261	VFB_00102013	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15998307	VFB_00102014	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15998319	VFB_00102015	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15998469	VFB_00102016	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15997929	VFB_00102009	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15997983	VFB_00102010	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15998100	VFB_00102011	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15998218	VFB_00102012	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15998913	VFB_00102021	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16018123	VFB_00102022	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16018440	VFB_00102023	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16115501	VFB_00102024	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15998768	VFB_00102017	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15998782	VFB_00102018	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15998817	VFB_00102019	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15998899	VFB_00102020	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15995368	VFB_00101998	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15995360	VFB_00101997	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15995404	VFB_00102000	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15995394	VFB_00101999	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15995012	VFB_00101994	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15994926	VFB_00101993	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15995327	VFB_00101996	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15995309	VFB_00101995	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15997645	VFB_00102006	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15997068	VFB_00102005	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15997807	VFB_00102008	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15997692	VFB_00102007	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15996160	VFB_00102002	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15995861	VFB_00102001	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15996518	VFB_00102004	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15996271	VFB_00102003	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15770945	VFB_00101983	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15914721	VFB_00101984	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15770521	VFB_00101981	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15770867	VFB_00101982	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15769596	VFB_00101979	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15769638	VFB_00101980	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15766999	VFB_00101977	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15769490	VFB_00101978	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15984231	VFB_00101991	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15984797	VFB_00101992	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15983156	VFB_00101989	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15983225	VFB_00101990	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15982951	VFB_00101987	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15983118	VFB_00101988	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15938337	VFB_00101985	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15982306	VFB_00101986	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15727304	VFB_00101968	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15725673	VFB_00101967	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15725545	VFB_00101966	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15725127	VFB_00101965	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15724636	VFB_00101964	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15724520	VFB_00101963	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15724385	VFB_00101962	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15724175	VFB_00101961	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15762568	VFB_00101976	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15748726	VFB_00101975	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15746421	VFB_00101974	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15743905	VFB_00101973	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15736147	VFB_00101972	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15730680	VFB_00101971	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15730645	VFB_00101970	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM15728017	VFB_00101969	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17718177	VFB_00102073	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17721400	VFB_00102074	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17816986	VFB_00102075	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17951153	VFB_00102076	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18225324	VFB_00102077	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18231999	VFB_00102078	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18239021	VFB_00102079	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18329062	VFB_00102080	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18347336	VFB_00102081	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18354200	VFB_00102082	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18356793	VFB_00102083	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18371412	VFB_00102084	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18403155	VFB_00102085	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18440675	VFB_00102086	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18620885	VFB_00102087	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM18625446	VFB_00102088	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17399886	VFB_00102058	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17399867	VFB_00102057	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17405603	VFB_00102060	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17400231	VFB_00102059	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17415439	VFB_00102062	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17415321	VFB_00102061	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17500791	VFB_00102064	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17421902	VFB_00102063	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17587794	VFB_00102066	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17511972	VFB_00102065	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17651480	VFB_00102068	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17608754	VFB_00102067	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17706915	VFB_00102070	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17698681	VFB_00102069	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17717854	VFB_00102072	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17716979	VFB_00102071	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17220054	VFB_00102043	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17225493	VFB_00102044	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17213784	VFB_00102041	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17219367	VFB_00102042	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17254290	VFB_00102047	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17256674	VFB_00102048	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17248923	VFB_00102045	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17254278	VFB_00102046	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17267288	VFB_00102051	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17267348	VFB_00102052	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17260593	VFB_00102049	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17267282	VFB_00102050	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17380936	VFB_00102055	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17385045	VFB_00102056	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17271471	VFB_00102053	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17369376	VFB_00102054	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16288872	VFB_00102028	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16124082	VFB_00102027	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16124048	VFB_00102026	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16123983	VFB_00102025	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16341966	VFB_00102032	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16341507	VFB_00102031	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16341399	VFB_00102030	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16317330	VFB_00102029	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16744167	VFB_00102036	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16500055	VFB_00102035	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16468935	VFB_00102034	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16362243	VFB_00102033	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM17096642	VFB_00102040	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16988779	VFB_00102039	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16774287	VFB_00102038	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM16751955	VFB_00102037	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1427012	VFB_00101612	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1419315	VFB_00101611	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1415168	VFB_00101610	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1400725	VFB_00101609	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1554836	VFB_00101616	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1540458	VFB_00101615	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1432836	VFB_00101614	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1431256	VFB_00101613	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1822302	VFB_00101620	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1715990	VFB_00101619	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1709802	VFB_00101618	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1575789	VFB_00101617	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2142817	VFB_00101624	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2037005	VFB_00101623	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1939616	VFB_00101622	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM1924051	VFB_00101621	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2200182	VFB_00101627	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2220573	VFB_00101628	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2147157	VFB_00101625	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2189894	VFB_00101626	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2302816	VFB_00101631	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2305234	VFB_00101632	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2268281	VFB_00101629	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2289486	VFB_00101630	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2376542	VFB_00101635	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
L1EM2391092	VFB_00101636	Miroschnikow2018	http://virtualflybrain.org/data/Miroschnikow2018
