label	vfbid	sourcename	sourceuri
JFRC2_AMMC-A1_02_skel.nrrd	VFB_00030745	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030745
JFRC2_AMMC-B1_02_skel_flip.nrrd	VFB_00030746	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030746
JFRC2_AMMC-B2_02_skel.nrrd	VFB_00030747	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030747
JFRC2_AMMC-D1_02_skel.nrrd	VFB_00030748	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030748
JFRC2_Bb1_02_skel.nrrd	VFB_00030749	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030749
JFRC2_Bb2_02_skel.nrrd	VFB_00030750	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030750
JFRC2_Bb3_02_skel.nrrd	VFB_00030751	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030751
JFRC2_Bb4_02_skel.nrrd	VFB_00030752	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030752
JFRC2_Bi1_02_skel.nrrd	VFB_00030753	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030753
JFRC2_Bi10_02_skel.nrrd	VFB_00030754	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030754
JFRC2_Bi11_02_skel.nrrd	VFB_00030755	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030755
JFRC2_Bi12_02_skel.nrrd	VFB_00030756	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030756
JFRC2_Bi13_02_skel.nrrd	VFB_00030757	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030757
JFRC2_Bi14_02_skel.nrrd	VFB_00030758	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030758
JFRC2_Bi15_02_skel_flip.nrrd	VFB_00030759	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030759
JFRC2_Bi16_02_skel.nrrd	VFB_00030760	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030760
JFRC2_Bi2_02_skel.nrrd	VFB_00030761	Matsuo2016	http://www.virtualflybrain.org/site/stacks/index.htm?id=VFB_00030761
