label	vfbID	sourceName	sourceURI
5000014_G_F_1_Signal	VFB_00050400		
5000015_G__1_Signal	VFB_00050401		
5000016_R_F_1_Signal	VFB_00050402		
5000524_G_F_1_Signal	VFB_00050403		
5000952_G__3_Signal	VFB_00050404		
5001031_R_F_1_Signal	VFB_00050405		
5001056_R_F_1_Signal	VFB_00050406		
5001461_R_F_1_Signal	VFB_00050407		
5001659_G__2_Signal	VFB_00050408		
5001683_G_F_3_Signal	VFB_00050409		
5001798_G__3_Signal	VFB_00050410		
5001798_G_F_1_Signal	VFB_00050411		
5002028_R__1_Signal	VFB_00050412		
5002068_R_F_2_Signal	VFB_00050413		
5002191_G__1_Signal	VFB_00050414		
5002266_R_F_3_Signal	VFB_00050415		
5002523_G__1_Signal	VFB_00050416		
5002531_G_F_1_Signal	VFB_00050417		
5002532_G__1_Signal	VFB_00050418		
5002566_R_F_1_Signal	VFB_00050419		
5002680_R__2_Signal	VFB_00050420		
5002695_R__2_Signal	VFB_00050421		
5002847_R_F_1_Signal	VFB_00050422		
5002867_R_F_1_Signal	VFB_00050423		
5003388_G__5_Signal	VFB_00050424		
5003390_G_F_2_Signal	VFB_00050425		
5003543_R_F_3_Signal	VFB_00050426		
5003888_R__1_Signal	VFB_00050427		
5003960_R__2_Signal	VFB_00050428		
5003961_G__4_Signal	VFB_00050429		
5003961_G_F_1_Signal	VFB_00050430		
5003962_G__3_Signal	VFB_00050431		
5004051_R_F_2_Signal	VFB_00050432		
5004165_R_F_2_Signal	VFB_00050433		
5004167_G__2_Signal	VFB_00050434		
5004167_R_F_2_Signal	VFB_00050435		
5004172_G__2_Signal	VFB_00050436		
5004280_G__4_Signal	VFB_00050437		
5300016_G__2_Signal	VFB_00050438		
5300167_G_F_1_Signal	VFB_00050439		
5300171_G_F_1_Signal	VFB_00050440		
5300171_R_F_1_Signal	VFB_00050441		
5300376_R__1_Signal	VFB_00050442		
5300683_R_F_2_Signal	VFB_00050443		
5300761_R_F_2_Signal	VFB_00050444		
5300782_R__4_Signal	VFB_00050445		
5300793_G__1_Signal	VFB_00050446		
5300830_G__2_Signal	VFB_00050447		
5300948_R__2_Signal	VFB_00050448		
5300960_G_F_1_Signal	VFB_00050449		
5300963_R__2_Signal	VFB_00050450		
5300965_G_F_1_Signal	VFB_00050451		
5300965_R_F_1_Signal	VFB_00050452		
5300976_R__1_Signal	VFB_00050453		
